listing_id,host_name,last_review,last_review month,host_name
8025,Lisel,01/01/2019, January,Lisel
31902,Sunder,01/01/2019, January,Sunder
160609,Ligia,01/01/2019, January,Ligia
165461,Rahul,01/01/2019, January,Rahul
242643,Lauryn,01/01/2019, January,Lauryn
263190,Dominique,01/01/2019, January,Dominique
310338,Kimberly,01/01/2019, January,Kimberly
369567,Luke,01/01/2019, January,Luke
386555,Nen,01/01/2019, January,Nen
459066,Ivana,01/01/2019, January,Ivana
512209,Amy,01/01/2019, January,Amy
625365,Zhenia,01/01/2019, January,Zhenia
702551,Mathew,01/01/2019, January,Mathew
728493,Clement & Natalia,01/01/2019, January,Clement & Natalia
820710,Autumn,01/01/2019, January,Autumn
820953,Amanda,01/01/2019, January,Amanda
833519,Vero,01/01/2019, January,Vero
888583,Caroline,01/01/2019, January,Caroline
917058,Darla,01/01/2019, January,Darla
959871,Derek,01/01/2019, January,Derek
978062,Betsy,01/01/2019, January,Betsy
1105845,Yuko,01/01/2019, January,Yuko
1148279,Yoki,01/01/2019, January,Yoki
1251681,Margarita,01/01/2019, January,Margarita
1408406,Kappie,01/01/2019, January,Kappie
1461814,Jenny,01/01/2019, January,Jenny
1479113,Gil,01/01/2019, January,Gil
1598012,Rosemary,01/01/2019, January,Rosemary
1669149,Carlos,01/01/2019, January,Carlos
1798500,Vie,01/01/2019, January,Vie
1878965,Vida,01/01/2019, January,Vida
1977888,Sam,01/01/2019, January,Sam
2028925,Jay,01/01/2019, January,Jay
2057403,Connie,01/01/2019, January,Connie
2228840,Carly & Sebastian,01/01/2019, January,Carly & Sebastian
2468186,Ziporah,01/01/2019, January,Ziporah
2563997,Dominick,01/01/2019, January,Dominick
2571283,Jennifer,01/01/2019, January,Jennifer
3166540,Mark,01/01/2019, January,Mark
3309982,Simone,01/01/2019, January,Simone
3372399,Peter,01/01/2019, January,Peter
3476431,Michelle,01/01/2019, January,Michelle
3554230,Sigi,01/01/2019, January,Sigi
3591107,Lanny,01/01/2019, January,Lanny
3914773,Jonathan,01/01/2019, January,Jonathan
3970562,Natalie,01/01/2019, January,Natalie
4093399,Vie,01/01/2019, January,Vie
4365765,Marie,01/01/2019, January,Marie
4623635,Amanda,01/01/2019, January,Amanda
4730371,Sarah,01/01/2019, January,Sarah
4880277,Sarah,01/01/2019, January,Sarah
4930683,Ron,01/01/2019, January,Ron
4942523,Michael,01/01/2019, January,Michael
5371463,Johnny,01/01/2019, January,Johnny
5389907,Martha &  Remo,01/01/2019, January,Martha &  Remo
5728014,Allie,01/01/2019, January,Allie
6069703,Maria,01/01/2019, January,Maria
6085932,Kim,01/01/2019, January,Kim
6114353,Chris,01/01/2019, January,Chris
6391465,Coral,01/01/2019, January,Coral
6449718,Giselle,01/01/2019, January,Giselle
6476333,Eliana,01/01/2019, January,Eliana
6545519,Peter,01/01/2019, January,Peter
6660511,Diana,01/01/2019, January,Diana
6831518,Kimihiro,01/01/2019, January,Kimihiro
7065307,Jen,01/01/2019, January,Jen
7180335,Brian,01/01/2019, January,Brian
7199049,Caroline,01/01/2019, January,Caroline
7475079,Ramiro,01/01/2019, January,Ramiro
7515694,Chris,01/01/2019, January,Chris
7686940,Jimmy,01/01/2019, January,Jimmy
7734176,Angela,01/01/2019, January,Angela
7933257,Rosie,01/01/2019, January,Rosie
7988411,Kathleen,01/01/2019, January,Kathleen
8065272,Irene,01/01/2019, January,Irene
8132082,Rebecca,01/01/2019, January,Rebecca
8266871,Gabriela,01/01/2019, January,Gabriela
8403327,Karen,01/01/2019, January,Karen
8426874,Jonathan,01/01/2019, January,Jonathan
8439145,George,01/01/2019, January,George
8470281,Ricky,01/01/2019, January,Ricky
8532358,Stephan,01/01/2019, January,Stephan
8733472,Mary Beth,01/01/2019, January,Mary Beth
8858228,Kate,01/01/2019, January,Kate
9043905,Amy,01/01/2019, January,Amy
9387436,Rhonda,01/01/2019, January,Rhonda
9694633,Mike,01/01/2019, January,Mike
9770041,Michelle,01/01/2019, January,Michelle
9818465,Michael E.,01/01/2019, January,Michael E.
9841695,Don,01/01/2019, January,Don
9911887,Robin,01/01/2019, January,Robin
